STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
2420,Parker Street,055 183600602,nan,PARKER ST,nan,nan,3683,37.8629023,-122.2593559,165101.0
725,Euclid Avenue,063 295503600,nan,EUCLID AVE,nan,nan,0,37.8978151,-122.2666491,0.0
1710,Milvia Street,058 217000300,nan,MILVIA ST,nan,nan,2369,37.8757909,-122.2713262,638197.0
1030,Spruce Street,061 258802000,nan,SPRUCE ST,nan,nan,3046,37.8899991,-122.2673617,138169.0
681,Santa Rosa Avenue,062 289302801,nan,SANTA ROSA AVE,nan,nan,3158,37.8952155,-122.2811435,661620.0
989,Middlefield Road,063 313003102,nan,MIDDLEFIELD RD,nan,nan,2263,37.8958675,-122.2566709,345221.0
2112,Sacramento Street,056 199701600,nan,SACRAMENTO ST,nan,nan,1188,37.8688265,-122.2821689,376842.0
934,The Alameda,061 260301100,nan,THE ALAMEDA,nan,nan,2300,37.8902236,-122.2771593,272462.0
1622,Stuart Street,053 167403400,nan,STUART ST,COM,nan,0,37.857141,-122.2765151,0.0
2223,Byron Street,056 198402600,nan,BYRON ST,nan,nan,2742,37.8656417,-122.2895903,183052.0
1203,Allston Way,056 198601000,nan,ALLSTON WAY,nan,nan,3168,37.8668704,-122.2887169,627770.0
1126,Park Hills Road,063 315005700,nan,PARK HILLS RD,nan,nan,1876,37.891463,-122.2529032,582149.0
854,Santa Barbara Road,061 258101600,nan,SANTA BARBARA RD,nan,nan,2841,37.8937377,-122.2697942,947371.0
3031,Telegraph Avenue,052 157409600,nan,TELEGRAPH AVE,235,nan,1005,37.8197335,-122.2673324,360897.0
2550,Dana Street,055 183209100,nan,DANA ST,4E,nan,839,37.863204,-122.2606906,232071.0
2345,West Street,056 192302800,nan,WEST ST,nan,nan,2468,37.8645449,-122.2849767,277716.0
1484,Seventh Street,059 232701100,nan,SEVENTH ST,nan,nan,761,37.8758311,-122.2993261,396796.0
16,Hillcrest Court,064 424700700,nan,HILLCREST CT,nan,nan,5335,37.8537695,-122.2477115,2772251.0
1520,Spruce Street,059 225600900,nan,SPRUCE ST,nan,nan,2658,37.8798665,-122.2661552,448927.0
2708,Channing Way,055 186801600,nan,CHANNING WAY,nan,nan,3311,37.8674023,-122.2537551,1137248.0
1737,Tenth Street,058 212703100,nan,TENTH ST,nan,nan,1378,37.8719168,-122.2941156,268364.0
2016,Ninth Street,056 197200800,nan,NINTH ST,nan,nan,2563,37.8678412,-122.2945096,288517.0
1515,Oxford Street,059 225602900,nan,OXFORD ST,3C,nan,2314,37.8799598,-122.2666774,1192501.0
2206,Bonar Street,056 198800700,nan,BONAR ST,nan,nan,958,37.8665211,-122.2871131,531950.0
2108,Grant Street,056 201200701,nan,GRANT ST,nan,nan,1473,37.8698801,-122.2752942,62233.0
98,Parnassus Road,058 223203500,nan,PARNASSUS RD,nan,nan,3326,37.8806711,-122.2527304,646733.0
1625,Lincoln Street,058 215501000,nan,LINCOLN ST,nan,nan,2256,37.8764191,-122.2792027,94599.0
984,Creston Road,063 296804401,nan,CRESTON RD,nan,nan,2474,37.8955294,-122.2596995,408038.0
1317,Ashby Avenue,053 162301801,nan,ASHBY AVE,nan,nan,4866,37.8531379,-122.2829785,356184.0
1406,Euclid Avenue,059 224905500,nan,EUCLID AVE,COM,nan,0,37.882789,-122.2618056,0.0
1987,El Dorado Avenue,061 257100500,nan,EL DORADO AVE,nan,nan,2646,37.8889439,-122.2731352,1145583.0
589,Arlington Avenue,062 291601000,nan,ARLINGTON AVE,nan,nan,3306,37.899552,-122.2773052,577062.0
1854,Capistrano Avenue,062 288503300,nan,CAPISTRANO AVE,nan,nan,1744,37.8944647,-122.2792114,84940.0
1915,Milvia Street,057 205102500,nan,MILVIA ST,nan,nan,884,37.8730424,-122.2706971,427264.0
1020,Miller Avenue,063 297800501,nan,MILLER AVE,nan,nan,2228,37.8937468,-122.260141,105793.0
2637,Piedmont Avenue,055 185201700,nan,PIEDMONT AVE,nan,nan,4290,37.8627418,-122.2510607,471506.0
1203,Neilson Street,060 241500100,nan,NEILSON ST,nan,nan,1566,37.8827728,-122.2884098,366945.0
1771,Thousand Oaks Boulevard,062 289501400,nan,THOUSAND OAKS BLVD,nan,nan,1967,37.8974768,-122.2820971,172492.0
1165,Spruce Street,061 255602901,nan,SPRUCE ST,nan,nan,745,37.8870877,-122.2662541,464454.0
901,Contra Costa Avenue,061 257605200,nan,CONTRA COSTA AVE,nan,nan,2249,37.8916729,-122.2757273,437380.0
1519,Oxford Street,059 225604400,nan,OXFORD ST,E,nan,1625,37.879616,-122.266788,512757.0
1801,Rose Street,060 244502700,nan,ROSE ST,nan,nan,4704,37.8813611,-122.2762021,1580295.0
55,Sunset Lane,063 311008300,nan,SUNSET LN,nan,nan,1148,37.899104,-122.2614813,724675.0
1918,Oregon Street,053 167902300,nan,OREGON ST,nan,nan,3976,37.8568346,-122.2703683,700583.0
1316,Burnett Street,053 162302800,nan,BURNETT ST,nan,nan,7564,37.8535432,-122.2830227,1799957.0
417,Vassar Avenue,062 294602400,nan,VASSAR AVE,nan,nan,1856,37.9041537,-122.2720269,105326.0
1114,Hillview Road,063 315002000,nan,HILLVIEW RD,nan,nan,2237,37.8928325,-122.2521512,1500000.0
1233,Oxford Street,060 246610600,nan,OXFORD ST,COM,nan,0,37.884722,-122.2673817,0.0
1321,Walnut Street,060 246609500,nan,WALNUT ST,nan,nan,3006,37.883207,-122.2682775,373962.0
1915,Oregon Street,053 168004300,nan,OREGON ST,C,nan,1102,37.857529,-122.2707365,406669.0
945,Allston Way,056 197101500,nan,ALLSTON WAY,nan,nan,1452,37.8660278,-122.2938945,34150.0
2614,Warring Street,055 185203100,nan,WARRING ST,7,nan,864,37.8634669,-122.2505558,566580.0
1937,Delaware Street,058 216900900,nan,DELAWARE ST,nan,nan,1932,37.8746195,-122.2716729,420523.0
766,Cragmont Avenue,063 295901900,nan,CRAGMONT AVE,nan,nan,2064,37.8963871,-122.2684177,1055880.0
1517,Blake Street,054 179701500,nan,BLAKE ST,nan,nan,2538,37.8616796,-122.2799562,780286.0
1418,Grant Street,059 227401100,nan,GRANT ST,nan,nan,1289,37.8804241,-122.2767225,1313467.0
2228,Jefferson Avenue,056 200701700,nan,JEFFERSON AVE,nan,nan,3693,37.8669376,-122.2784982,405832.0
2014,Ninth Street,056 197200700,nan,NINTH ST,nan,nan,1470,37.8680073,-122.2945009,319654.0
2923,Ellis Street,053 160302700,nan,ELLIS ST,nan,nan,797,37.8550248,-122.2730739,417604.0
1366,Hearst Avenue,057 207402900,nan,HEARST AVE,nan,nan,1092,37.8713288,-122.2852446,355024.0
3309,Claremont Avenue,064 429503700,nan,CLAREMONT AVE,nan,nan,3052,37.8518607,-122.2500164,116852.0
1027,Allston Way,056 197701600,nan,ALLSTON WAY,nan,nan,1764,37.8664021,-122.2921958,285262.0
1415,Sacramento Street,060 243201400,nan,SACRAMENTO ST,nan,nan,1148,37.8794079,-122.2828355,1080494.0
1527,Julia Street,053 161000800,nan,JULIA ST,nan,nan,1926,37.8545161,-122.2780207,349150.0
1863,San Pedro Avenue,062 288701000,nan,SAN PEDRO AVE,nan,nan,2273,37.8936863,-122.2783955,243890.0
1155,Oxford Street,061 255703300,nan,OXFORD ST,nan,nan,2504,37.8870438,-122.2676281,352785.0
1500,Le Roy Avenue,058 224700400,nan,LE ROY AVE,nan,nan,4175,37.8818067,-122.2606895,193011.0
2601,College Avenue,055 184804200,nan,COLLEGE AVE,203,nan,833,37.8637009,-122.2533179,200171.0
1058,Keith Avenue,061 255503501,nan,KEITH AVE,A,nan,1196,37.8897209,-122.2636315,455351.0
2500,Martin Luther King Jr Way,054 181400102,nan,M L KING JR WAY,nan,nan,13246,37.8631535,-122.2722233,2049334.0
1237,Curtis Street,060 241201701,nan,CURTIS ST,nan,nan,3225,37.8817724,-122.2896119,871606.0
2,Somerset Place,061 257800201,nan,SOMERSET PL,nan,nan,6053,37.8944786,-122.2740524,1766895.0
1522,Buena Avenue,059 228501300,nan,BUENA AVE,nan,nan,1124,37.8778756,-122.281998,675394.0
1818,Allston Way,057 201400200,nan,ALLSTON WAY,nan,nan,734,37.8684339,-122.274341,222720.0
1608,Beverly Place,061 260700300,nan,BEVERLY PL,nan,nan,2475,37.8852404,-122.2802031,1066157.0
1515,North Street,059 227701600,nan,NORTH ST,nan,nan,1513,37.8784542,-122.27787,684737.0
1403,Fairview Street,052 153901200,nan,FAIRVIEW ST,nan,nan,1414,37.8495224,-122.2798618,656705.0
819,Folger Avenue,053 163500800,nan,FOLGER AVE,nan,nan,2031,37.8500168,-122.2922758,22197.0
851,Creston Road,063 312004200,nan,CRESTON RD,nan,nan,2036,37.8981584,-122.2612186,445343.0
2400,Piedmont Avenue,055 186800100,nan,PIEDMONT AVE,nan,nan,14751,37.8674109,-122.2521874,422677.0
1421,Hearst Avenue,057 207701400,nan,HEARST AVE,nan,nan,1296,37.8718346,-122.2835366,1261403.0
40,Northgate Avenue,060 246901700,nan,NORTHGATE AVE,nan,nan,2886,37.8865738,-122.2561256,360320.0
2235,Browning Street,056 198802503,nan,BROWNING ST,nan,nan,2184,37.8656713,-122.2875107,902648.0
2566,Telegraph Avenue,055 183700200,nan,TELEGRAPH AVE,nan,nan,8610,37.8636874,-122.2589984,763116.0
1476,Tenth Street,059 233001100,nan,TENTH ST,nan,nan,780,37.876502,-122.2959996,516444.0
2727,Mathews Street,054 174210900,nan,MATHEWS ST,nan,nan,887,37.8569381,-122.2858428,275037.0
3111,Wheeler Street,052 155601800,nan,WHEELER ST,nan,nan,912,37.8529032,-122.2638532,191761.0
1617,Bancroft Way,056 200702200,nan,BANCROFT WAY,nan,nan,1483,37.8663839,-122.2786142,165575.0
1176,University Avenue,056 197902700,nan,UNIVERSITY AVE,nan,nan,19488,37.8690597,-122.2901323,2730943.0
1814,Virginia Street,058 216702200,nan,VIRGINIA ST,nan,nan,2276,37.8756203,-122.2751704,1820893.0
1643,Walnut Street,058 217901800,nan,WALNUT ST,nan,nan,2615,37.8770478,-122.2675723,2239491.0
653,Colusa Avenue,062 289101200,nan,COLUSA AVE,nan,nan,2648,37.8956142,-122.2836995,319644.0
118,Parkside Drive,064 424400200,nan,PARKSIDE DR,nan,nan,3457,37.8539418,-122.242894,1400075.0
3009,Wheeler Street,052 158403600,nan,WHEELER ST,nan,nan,2122,37.8551554,-122.26427,623893.0
2737,Russell Street,053 169701100,nan,RUSSELL ST,nan,nan,1773,37.8587699,-122.2515121,617671.0
983,Regal Road,063 297605002,nan,REGAL RD,nan,nan,1081,37.8928003,-122.2617858,436480.0
2800,Stanton Street,053 166900200,nan,STANTON ST,nan,nan,1039,37.8557665,-122.2806159,651175.0
806,Vincente Avenue,062 287501900,nan,VINCENTE AVE,nan,nan,1662,37.8933406,-122.2848773,353290.0
1318,Kains Avenue,060 240400800,nan,KAINS AVE,nan,nan,1436,37.8799099,-122.2948743,563121.0
2830,Garber Street,053 170100900,nan,GARBER ST,nan,nan,3832,37.8606848,-122.2496421,2591857.0
66,Maryland Avenue,062 294400200,nan,MARYLAND AVE,nan,nan,2446,37.9029191,-122.273572,989382.0
1220,Blake Street,054 178902100,nan,BLAKE ST,nan,nan,1116,37.8604659,-122.2861244,716667.0
664,Arlington Avenue,062 292100600,nan,ARLINGTON AVE,nan,nan,3683,37.8978444,-122.277005,929294.0
102,El Camino Real,064 424402700,nan,EL CAMINO REAL,nan,nan,1920,37.8541105,-122.2410084,1608284.0
745,Neilson Street,062 286902900,nan,NEILSON ST,nan,nan,1480,37.893796,-122.2862461,390789.0
3001,Mabel Street,053 162402400,nan,MABEL ST,nan,nan,1090,37.8526548,-122.2835028,186958.0
1207,Blake Street,054 178201300,nan,BLAKE ST,nan,nan,832,37.860753,-122.2867926,33749.0
1721,Addison Street,056 201101000,nan,ADDISON ST,nan,nan,1432,37.8703923,-122.2764079,55946.0
83,San Mateo Road,061 257800800,nan,SAN MATEO RD,nan,nan,2144,37.8939057,-122.2735166,212459.0
676,Neilson Street,062 286001400,nan,NEILSON ST,nan,nan,1589,37.8951837,-122.2866722,182392.0
1973,Hopkins Street,061 257000600,nan,HOPKINS ST,nan,nan,1363,37.8880426,-122.2732693,831198.0
2935,King Street,053 160402500,nan,KING ST,nan,nan,2481,37.8545914,-122.2740881,577164.0
1383,Rose Street,060 242306800,nan,ROSE ST,nan,nan,1110,37.8780168,-122.2859675,640320.0
2598,College Avenue,055 184601800,nan,COLLEGE AVE,nan,nan,2107,37.8637535,-122.2539366,339270.0
3132,Lewiston Avenue,052 156307300,nan,LEWISTON AVE,nan,nan,2868,37.8527304,-122.2518525,960507.0
3008,Harper Street,053 160200402,nan,HARPER ST,nan,nan,2634,37.8537746,-122.2723716,97445.0
31,Roble Road,064 426501400,nan,ROBLE RD,nan,nan,3418,37.8531423,-122.2367986,178941.0
660,Hilldale Avenue,063 295501700,nan,HILLDALE AVE,nan,nan,1559,37.8995733,-122.2662287,1232844.0
1517,Acton Street,059 228608200,nan,ACTON ST,nan,nan,1170,37.8775846,-122.2849031,594799.0
2419,Spaulding Avenue,055 191306300,nan,SPAULDING AVE,nan,nan,2870,37.8634234,-122.2799587,812712.0
1926,Shattuck Avenue,057 205100500,nan,SHATTUCK AVE,nan,nan,2842,37.873344,-122.268739,737305.0
1101,Euclid Avenue,063 298802100,nan,EUCLID AVE,nan,nan,3420,37.889594,-122.2621431,596274.0
2412,Stuart Street,053 169200300,nan,STUART ST,nan,nan,3086,37.8594215,-122.2584326,806572.0
1609,Jaynes Street,059 227902100,nan,JAYNES ST,nan,nan,943,37.8778995,-122.2801676,327046.0
1425,Virginia Street,058 214506100,nan,VIRGINIA ST,nan,nan,1098,37.8748205,-122.2842523,816868.0
3380,Adeline Street,052 152400501,nan,ADELINE ST,nan,nan,9456,37.8471343,-122.2726335,3055431.0
3026,Martin Luther King Jr Way,053 160101200,nan,M L KING JR WAY,nan,nan,2167,37.8200951,-122.2705737,1300000.0
1830,Parker Street,054 181202400,nan,PARKER ST,nan,nan,3235,37.8612021,-122.2727596,606961.0
2450,Ashby Avenue,052 157308707,nan,ASHBY AVE,nan,nan,337730,37.8556649,-122.2572666,34940641.0
1149,Euclid Avenue,063 298800801,nan,EUCLID AVE,nan,nan,3560,37.8879704,-122.260626,1530045.0
1123,Blake Street,054 178100900,nan,BLAKE ST,nan,nan,1673,37.8605923,-122.2880747,770085.0
38,Brookside Avenue,064 429501800,nan,BROOKSIDE AVE,nan,nan,3031,37.8519397,-122.2480301,774052.0
2336,Spaulding Avenue,055 191404500,nan,SPAULDING AVE,nan,nan,1721,37.8645363,-122.2806145,322873.0
1307,Alcatraz Avenue,052 151801300,nan,ALCATRAZ AVE,nan,nan,2346,37.8477039,-122.2808817,46659.0
2907,Pine Avenue,052 156504100,nan,PINE AVE,nan,nan,2286,37.8583986,-122.2481894,342693.0
1430,Oxford Street,059 225801200,nan,OXFORD ST,nan,nan,2198,37.8811197,-122.2674295,326777.0
1227,Parker Street,054 178900500,nan,PARKER ST,nan,nan,1516,37.8600251,-122.2857434,310388.0
1325,Allston Way,056 199402800,nan,ALLSTON WAY,nan,nan,938,37.8671824,-122.2846667,42583.0
2030,Addison Street,057 202302300,nan,ADDISON ST,nan,nan,38687,37.8709458,-122.26923,10648800.0
515,Grizzly Peak Boulevard,063 310004200,nan,GRIZZLY PEAK BLVD,nan,nan,995,37.9029373,-122.2680824,283974.0
1514,Alcatraz Avenue,052 143802100,nan,ALCATRAZ AVE,nan,nan,2255,37.8477786,-122.277189,55041.0
600,Cragmont Avenue,063 295202000,nan,CRAGMONT AVE,nan,nan,2198,37.9007066,-122.2694244,1200852.0
1200,Keith Avenue,063 298805703,nan,KEITH AVE,nan,nan,2272,37.8871895,-122.2591858,371725.0
1327,Lincoln Street,058 213800300,nan,LINCOLN ST,nan,nan,1154,37.8753624,-122.2876581,53003.0
2240,Rose Street,059 225400300,nan,ROSE ST,nan,nan,2973,37.8824087,-122.2655244,408246.0
1112,Ward Street,054 174200200,nan,WARD ST,nan,nan,1346,37.8567398,-122.2875811,1261403.0
50,Forest Lane,063 297000500,nan,FOREST LN,nan,nan,1156,37.895237,-122.2619562,383523.0
1712,Stuart Street,053 167502700,nan,STUART ST,nan,nan,1169,37.8573649,-122.2748351,40091.0
2141,Oregon Street,053 168504100,nan,OREGON ST,3,nan,855,37.8581613,-122.2649782,600911.0
1964,Marin Avenue,061 257101800,nan,MARIN AVE,nan,nan,2313,37.8892284,-122.2738052,176697.0
1610,Ashby Avenue,053 160702400,nan,ASHBY AVE,nan,nan,1368,37.8534339,-122.2763895,601496.0
2422,Byron Street,056 192800800,nan,BYRON ST,nan,nan,1302,37.8622079,-122.2891848,291942.0
1817,Fairview Street,052 154801300,nan,FAIRVIEW ST,nan,nan,3031,37.850712,-122.2720586,193722.0
2716,Cedar Street,058 221101600,nan,CEDAR ST,nan,nan,3742,37.8798527,-122.2569248,114839.0
3018,Harper Street,053 160200700,nan,HARPER ST,nan,nan,2176,37.8534298,-122.2723368,148591.0
451,Kentucky Avenue,062 294503200,nan,KENTUCKY AVE,nan,nan,3255,37.9026523,-122.2723347,778261.0
1552,Alcatraz Avenue,052 143801500,nan,ALCATRAZ AVE,nan,nan,2337,37.8478737,-122.2761377,276945.0
1132,Arch Street,061 255600500,nan,ARCH ST,nan,nan,1438,37.8882531,-122.266023,50284.0
1320,Lincoln Street,058 213700300,nan,LINCOLN ST,nan,nan,2614,37.8749609,-122.2879915,257414.0
1978,Yosemite Road,061 257601000,nan,YOSEMITE RD,nan,nan,2629,37.895101,-122.2761062,199118.0
2920,Deakin Street,052 158101000,nan,DEAKIN ST,nan,nan,5359,37.8563643,-122.2628079,893471.0
2389,Eunice Street,061 255300900,nan,EUNICE ST,nan,nan,1607,37.8866682,-122.2635758,1072190.0
500,Michigan Avenue,062 293901701,nan,MICHIGAN AVE,nan,nan,3853,37.9011685,-122.2707409,1273429.0
555,Santa Barbara Road,062 294003700,nan,SANTA BARBARA RD,nan,nan,2312,37.9008148,-122.2748713,543715.0
1075,Cragmont Avenue,063 297604500,nan,CRAGMONT AVE,nan,nan,2434,37.8918251,-122.2615017,811225.0
1610,Carleton Street,054 180302302,nan,CARLETON ST,nan,nan,3384,37.8596086,-122.2774127,458231.0
3301,Claremont Avenue,064 429503600,nan,CLAREMONT AVE,nan,nan,2624,37.8520519,-122.2499229,286612.0
1843,San Ramon Avenue,062 292203200,nan,SAN RAMON AVE,nan,nan,3066,37.8987944,-122.2791771,1502184.0
1405,Grant Street,059 227303400,nan,GRANT ST,nan,nan,1324,37.8808658,-122.2760479,58892.0
1522,Ada Street,060 243202100,nan,ADA ST,nan,nan,1958,37.8800267,-122.2824207,804787.0
2337,Fifth Street,056 194201900,nan,FIFTH ST,nan,nan,984,37.862038,-122.296769,946053.0
1229,Stannage Avenue,060 240702300,nan,STANNAGE AVE,nan,nan,1678,37.8816295,-122.2941014,174774.0
2757,Dohr Street,054 173701000,nan,DOHR ST,nan,nan,2798,37.8567331,-122.281187,70443.0
1075,Mariposa Avenue,061 256002100,nan,MARIPOSA AVE,nan,nan,3007,37.8874273,-122.2712975,1683677.0
2961,Magnolia Street,052 156512600,nan,MAGNOLIA ST,nan,nan,2330,37.8565899,-122.2487781,370365.0
1056,Merced Street,061 261701600,nan,MERCED ST,nan,nan,1773,37.8869105,-122.2802511,81316.0
2253,Glen Avenue,060 246401000,nan,GLEN AVE,nan,nan,2432,37.8846259,-122.2650947,1271042.0
1468,Olympus Avenue,060 248300400,nan,OLYMPUS AVE,nan,nan,1636,37.8826071,-122.2516317,172818.0
1484,Summit Road,060 249303800,nan,SUMMIT RD,nan,nan,2613,37.883164,-122.2482152,113480.0
2661,Cedar Street,058 224501402,nan,CEDAR ST,nan,nan,3873,37.8800378,-122.2579573,155798.0
1085,Sterling Avenue,063 297805200,nan,STERLING AVE,nan,nan,1440,37.8914898,-122.2580709,139161.0
1749,Martin Luther King Jr Way,058 216901800,nan,M L KING JR WAY,nan,nan,2769,37.8744083,-122.2731446,90829.0
900,Cedar Street,058 212100100,nan,CEDAR ST,nan,nan,1092,37.8741637,-122.2983644,886129.0
1637,Stuart Street,054 173000600,nan,STUART ST,nan,nan,1328,37.8576145,-122.2758993,563690.0
2442,Grant Street,055 190601600,nan,GRANT ST,nan,nan,2054,37.8633533,-122.2747362,164122.0
1275,Grizzly Peak Boulevard,060 249403100,nan,GRIZZLY PEAK BLVD,nan,nan,2036,37.8878083,-122.2515035,541547.0
1535,Sacramento Street,059 228503200,nan,SACRAMENTO ST,nan,nan,1204,37.8776535,-122.2824606,316596.0
1,Roble Road,064 426501600,nan,ROBLE RD,nan,nan,1612,37.8536759,-122.2368434,712698.0
2226,Martin Luther King Jr Way,057 201801100,nan,M L KING JR WAY,nan,nan,3406,37.8677833,-122.2729181,351711.0
1450,Keoncrest Drive,059 228613200,nan,KEONCREST DR,nan,nan,1089,37.8769956,-122.2840962,424736.0
1729,Sixth Street,058 211903400,nan,SIXTH ST,COM,nan,0,37.8714306,-122.2985441,0.0
2510,Russell Street,052 157004700,nan,RUSSELL ST,COM,nan,0,37.8579235,-122.256528,0.0
1261,Delaware Street,058 213501200,nan,DELAWARE ST,nan,nan,1281,37.8725852,-122.2876903,1308810.0
211,The Uplands,064 424403200,nan,THE UPLANDS,nan,nan,4292,37.8535037,-122.240503,2470248.0
1114,Keith Avenue,063 298803103,nan,KEITH AVE,nan,nan,1661,37.8893277,-122.2612363,108950.0
2318,Derby Street,054 171502500,nan,DERBY ST,nan,nan,1440,37.8608912,-122.2613903,225264.0
56,Panoramic Way,055 185301405,nan,PANORAMIC WAY,nan,nan,2482,37.8676859,-122.2477187,452053.0
2122,Sacramento Street,056 199702100,nan,SACRAMENTO ST,nan,nan,2598,37.8684202,-122.2824079,985094.0
1533,Prince Street,053 161300600,nan,PRINCE ST,nan,nan,2362,37.8518706,-122.277412,217238.0
3204,Ellis Street,052 153400600,nan,ELLIS ST,nan,nan,1936,37.8500629,-122.2730384,810680.0
2281,Shattuck Avenue,057 202901002,nan,SHATTUCK AVE,nan,nan,2310,37.86803,-122.267546,77918.0
1541,Portland Avenue,062 286001600,nan,PORTLAND AVE,nan,nan,2040,37.8949487,-122.2867794,947261.0
1461,Keoncrest Drive,059 228609100,nan,KEONCREST DR,nan,nan,2322,37.8772846,-122.283981,391975.0
1317,Lincoln Street,058 213800500,nan,LINCOLN ST,nan,nan,1994,37.8753841,-122.2879158,377185.0
2315,Rose Street,060 246502200,nan,ROSE ST,nan,nan,3986,37.8832509,-122.2644299,328887.0
789,Vincente Avenue,062 288100800,nan,VINCENTE AVE,nan,nan,1872,37.8940217,-122.2840482,521373.0
1547,Bancroft Way,056 200101800,nan,BANCROFT WAY,nan,nan,1267,37.8662111,-122.2796111,805378.0
1710,Walnut Street,058 217700500,nan,WALNUT ST,nan,nan,7905,37.8763569,-122.2681043,5348845.0
1615,La Vereda Road,058 221100700,nan,LA VEREDA RD,nan,nan,1746,37.8795536,-122.2564086,1447455.0
1928,Stuart Street,053 168002900,nan,STUART ST,nan,nan,3162,37.8578634,-122.2702099,223611.0
2736,Milvia Street,054 172500300,nan,MILVIA ST,nan,nan,1496,37.858598,-122.269611,824774.0
2332,Martin Luther King Jr Way,055 190100500,nan,M L KING JR WAY,nan,nan,6677,37.8657065,-122.2728297,118846.0
1615,Franklin Street,058 214402700,nan,FRANKLIN ST,nan,nan,2006,37.8756437,-122.2857027,1025241.0
701,Arlington Avenue,062 291607000,nan,ARLINGTON AVE,nan,nan,3332,37.8975847,-122.2758062,588087.0
1517,Grant Street,059 227202800,nan,GRANT ST,nan,nan,1053,37.8787212,-122.2757689,441080.0
810,Euclid Avenue,063 296101300,nan,EUCLID AVE,nan,nan,2622,37.895898,-122.2661665,957296.0
1601,Jaynes Street,059 227902200,nan,JAYNES ST,nan,nan,1135,37.8778022,-122.2803813,368382.0
2701,Ridge Road,058 220400801,nan,RIDGE RD,nan,nan,11143,37.8767099,-122.2568687,3981669.0
2900,Harper Street,053 160300500,nan,HARPER ST,nan,nan,2295,37.8558235,-122.2725726,859519.0
2921,Martin Luther King Jr Way,053 159902700,nan,M L KING JR WAY,nan,nan,2296,37.8553764,-122.2709181,466820.0
2413,Bonar Street,056 192003300,nan,BONAR ST,nan,nan,1279,37.8629188,-122.285884,38505.0
1600,Sacramento Street,058 214500113,nan,SACRAMENTO ST,nan,nan,9506,37.8764554,-122.283094,493336.0
2444,Spaulding Avenue,055 191401602,nan,SPAULDING AVE,nan,nan,1867,37.8624127,-122.280441,264649.0
1461,Catherine Drive,059 228607200,nan,CATHERINE DR,nan,nan,1111,37.8778803,-122.2844714,805914.0
970,Wildcat Canyon Road,063 313000600,nan,WILDCAT CANYON RD,nan,nan,2730,37.8975068,-122.2566914,459941.0
2507,Woolsey Street,052 156002100,nan,WOOLSEY ST,nan,nan,2681,37.8537001,-122.255577,1074024.0
2537,Fulton Street,055 182901400,nan,FULTON ST,nan,nan,6850,37.8628832,-122.2647025,4090404.0
1699,Solano Avenue,062 287101201,nan,SOLANO AVE,nan,nan,4000,37.8914726,-122.2825617,1750879.0
2851,Buena Vista Way,058 224211501,nan,BUENA VISTA WAY,nan,nan,2853,37.8819442,-122.2565064,1040374.0
1059,Cragmont Avenue,063 297502303,nan,CRAGMONT AVE,nan,nan,3399,37.8919421,-122.2629168,805701.0
1408,Channing Way,056 191900200,nan,CHANNING WAY,nan,nan,785,37.8636702,-122.2828157,129700.0
1822,Virginia Street,058 216702600,nan,VIRGINIA ST,nan,nan,2072,37.8756805,-122.27463,342548.0
1545,Campus Drive,060 248301701,nan,CAMPUS DR,nan,nan,2518,37.8812059,-122.2515813,736112.0
3012,Martin Luther King Jr Way,053 160100800,nan,M L KING JR WAY,nan,nan,2210,37.8537182,-122.2713178,688385.0
613,Vistamont Avenue,063 311006404,nan,VISTAMONT AVE,nan,nan,1595,37.9025235,-122.2637408,109648.0
2320,Russell Street,052 157902000,nan,RUSSELL ST,nan,nan,1517,37.8573794,-122.2605228,93267.0
2225,Hearst Avenue,058 218101800,nan,HEARST AVE,nan,nan,8061,37.8743839,-122.2658096,2132577.0
1605,Tenth Street,058 212802900,nan,TENTH ST,nan,nan,1363,37.8747384,-122.2949474,444793.0
1315,Cornell Avenue,060 240103000,nan,CORNELL AVE,A,nan,889,37.8805336,-122.2928098,675394.0
1208,Rose Street,059 229000300,nan,ROSE ST,nan,nan,1247,37.8763824,-122.2912117,858272.0
2631,Mabel Street,054 179202100,nan,MABEL ST,nan,nan,924,37.8587357,-122.2846915,71803.0
1581,San Lorenzo Avenue,062 286901900,nan,SAN LORENZO AVE,nan,nan,1342,37.8929984,-122.2860218,1206273.0
1701,Delaware Street,058 215902100,nan,DELAWARE ST,nan,nan,1474,37.87379,-122.2776833,840841.0
3000,Dana Street,052 157400200,nan,DANA ST,nan,nan,2078,37.855177,-122.258922,1339727.0
1940,Napa Avenue,061 256902700,nan,NAPA AVE,nan,nan,3028,37.8871874,-122.2740728,117303.0
3111,Eton Avenue,052 156321400,nan,ETON AVE,1,nan,1081,37.8537291,-122.2508429,200860.0
898,Contra Costa Avenue,061 257503000,nan,CONTRA COSTA AVE,nan,nan,2645,37.8917431,-122.2764399,108723.0
1310,Grizzly Peak Boulevard,060 248700300,nan,GRIZZLY PEAK BLVD,nan,nan,2114,37.8866109,-122.251223,681537.0
1743,Oregon Street,053 167500700,nan,OREGON ST,nan,nan,1149,37.8570082,-122.2733383,292418.0
1417,Oxford Street,059 225704300,nan,OXFORD ST,COM,nan,0,37.8817151,-122.2669734,0.0
