STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
1631,Curtis Street,059 229104200,nan,CURTIS ST,nan,nan,1554,37.8746395,-122.2900161,55720.0
1625,Martin Luther King Jr Way,058 217102700,nan,M L KING JR WAY,nan,nan,3372,37.876911,-122.2733393,583204.0
2330,Durant Avenue,055 188401700,nan,DURANT AVE,nan,nan,2670,37.8671948,-122.2620905,108044.0
1849,Shattuck Avenue,057 204903400,nan,SHATTUCK AVE,208,nan,725,37.8741979,-122.2683557,238900.0
2626,Hillegass Avenue,055 184103900,nan,HILLEGASS AVE,B,nan,1219,37.8623328,-122.2565474,760173.0
1450,Ninth Street,059 232900700,nan,NINTH ST,nan,nan,1403,37.876647,-122.2973203,888996.0
2617,Etna Street,055 184902600,nan,ETNA ST,nan,nan,2836,37.8633183,-122.252224,1422629.0
485,Kentucky Avenue,062 294502402,nan,KENTUCKY AVE,nan,nan,2252,37.9017585,-122.2714472,629056.0
1732,Grant Street,058 215900300,nan,GRANT ST,nan,nan,1425,37.8743954,-122.275898,390292.0
2577,San Pablo Avenue,054 178401700,nan,SAN PABLO AVE,nan,nan,21609,37.8598422,-122.2886935,2519851.0
1605,Harmon Street,052 153501500,nan,HARMON ST,nan,nan,2035,37.8493106,-122.2756963,260681.0
2725,Prince Street,052 156408200,nan,PRINCE ST,9,nan,1791,37.8551616,-122.2517053,498165.0
1387,Hearst Avenue,057 207801600,nan,HEARST AVE,nan,nan,964,37.8717234,-122.284925,561934.0
5,Virginia Gardens,058 213902800,nan,VIRGINIA GARDENS,nan,nan,1934,37.8747398,-122.2868964,391678.0
2831,Garber Street,054 170500500,nan,GARBER ST,nan,nan,6106,37.8610651,-122.2496089,248011.0
1091,Creston Road,063 314011200,nan,CRESTON RD,nan,nan,1848,37.8931175,-122.2566633,122314.0
961,Miller Avenue,063 297002102,nan,MILLER AVE,nan,nan,3619,37.894021,-122.2623349,2025771.0
496,Spruce Street,062 294502100,nan,SPRUCE ST,nan,nan,3263,37.9015493,-122.2707123,1641145.0
1532,Summit Road,060 249004303,nan,SUMMIT RD,nan,nan,2431,37.8819272,-122.2469126,1007146.0
1641,Stuart Street,054 173000500,nan,STUART ST,nan,nan,1332,37.8576533,-122.2757875,843000.0
1642,Stannage Avenue,059 228802401,nan,STANNAGE AVE,nan,nan,1374,37.8740164,-122.292185,670687.0
1513,San Pablo Avenue,060 239503100,nan,SAN PABLO AVE,nan,nan,2410,37.8759442,-122.2940016,218452.0
1459,Cedar Street,059 228611800,nan,CEDAR ST,nan,nan,1082,37.8767318,-122.2838866,229965.0
524,The Alameda,062 290300300,nan,THE ALAMEDA,nan,nan,3414,37.9000532,-122.2809,840723.0
2325,Edwards Street,056 191502800,nan,EDWARDS ST,nan,nan,775,37.8648127,-122.2822507,232670.0
2615,Derby Street,055 184401800,nan,DERBY ST,nan,nan,2902,37.8618702,-122.2554043,886584.0
1734,Tenth Street,058 212601300,nan,TENTH ST,nan,nan,1700,37.8719814,-122.2945509,43328.0
1007,Miller Avenue,063 296904303,nan,MILLER AVE,nan,nan,2856,37.8943728,-122.2604573,217118.0
1731,La Vereda Road,058 220801200,nan,LA VEREDA RD,nan,nan,2804,37.8786477,-122.2557567,123673.0
204,El Camino Real,064 425900600,nan,EL CAMINO REAL,nan,nan,3983,37.8529855,-122.2405346,607110.0
3006,Stanton Street,053 161500300,nan,STANTON ST,nan,nan,1688,37.8529714,-122.2798576,667385.0
