,STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value,2021/2022 Property Tax Bill
86,1139,Camelia Street,060 240201800,nan,CAMELIA ST,nan,nan,789,37.8792962,-122.2932894,937808.0,13774.76
87,2175,Milvia Street,057 202600702,nan,MILVIA ST,nan,nan,49576,37.8697335,-122.2702259,8173919.0,120493.0
88,1908,California Street,057 206800201,nan,CALIFORNIA ST,nan,nan,9784,37.8718663,-122.2802075,521263.0,26294.82
89,1518,Ward Street,054 173302600,nan,WARD ST,nan,nan,1902,37.8577435,-122.2791183,1497917.0,22630.58
90,1431,Milvia Street,059 226502100,nan,MILVIA ST,nan,nan,1545,37.8806672,-122.2714824,74747.0,4012.26
91,1200,Keith Avenue,063 298805703,nan,KEITH AVE,nan,nan,2272,37.8871895,-122.2591858,371725.0,9737.98
92,2436,Eighth Street,056 193901700,nan,EIGHTH ST,nan,nan,3707,37.8608166,-122.2934929,185080.0,8318.06
93,1216,Bonita Avenue,060 244900800,nan,BONITA AVE,nan,nan,1292,37.8846228,-122.2735733,104906.0,4035.52
94,1951,Napa Avenue,061 257001200,nan,NAPA AVE,nan,nan,2476,37.8876848,-122.2741305,246680.0,7405.16
95,2539,California Street,054 180502000,nan,CALIFORNIA ST,nan,nan,1042,37.8611375,-122.2782232,349365.0,6675.86
96,1400,Josephine Street,059 227300400,nan,JOSEPHINE ST,nan,nan,2247,37.8811333,-122.2754789,953520.0,15335.28
97,1218,Josephine Street,060 244500500,nan,JOSEPHINE ST,nan,nan,1508,37.8839877,-122.2757735,368991.0,8081.38
98,11,Roslyn Court,064 425202300,nan,ROSLYN CT,nan,nan,2686,37.8522405,-122.2451642,408419.0,9112.9
99,1640,Cedar Street,058 215503300,nan,CEDAR ST,nan,nan,1828,37.8769953,-122.2786875,787067.0,12776.88
